material_id,formula,n_elements,crystal_system,spacegroup_number,category,formation_energy_per_atom_eV,energy_above_hull_eV,band_gap_eV,is_metal,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio,density_g_cm3,nsites,volume_A3,melting_point_K,is_stable,elastic_modulus_GPa,MQI
mp-456332,Fe2Os4B,3,hexagonal,170,Sulfide,-0.4989,0.0635,0.265,0,29.35,7.52,0.3852,3.163,12,479.5,806.0,0,20.833408,11.2348448
mp-183844,In2Ne,2,hexagonal,192,Silicate,-2.9194,0.0166,7.912,0,105.01,60.96,0.2698,0.5,6,35.63,886.0,1,154.814016,92.6884096
mp-809734,WBrSb4,3,orthorhombic,57,Ceramic,-3.9572,0.009,5.976,0,128.61,76.27,0.2525,2.17,4,105.34,2270.0,1,191.05634999999998,113.76580999999999
mp-432526,Mn2,1,trigonal,161,Ceramic,-5.2282,0.0263,0.5,0,267.39,111.22,0.3059,5.577,4,218.69,2834.0,1,290.484396,172.0598376
mp-969374,Cl4Pd4Se3,3,hexagonal,174,Metal,-1.2383,0.0313,0.0,1,203.86,95.42,0.2963,7.48,4,335.52,1930.0,1,247.385892,145.43953520000002
mp-693579,CuMo3,2,hexagonal,176,Sulfide,-0.1522,0.0564,2.225,0,119.6,63.15,0.2827,4.329,8,259.96,1321.0,0,162.00501,95.471406
mp-927169,Zr3Te4Ru2Mo3,4,tetragonal,129,Silicate,-2.5826,0.0257,5.9,0,86.33,17.88,0.4081,4.078,2,141.01,1265.0,1,50.353656,28.5809936
mp-865672,OsFe3,2,hexagonal,177,Oxide,-2.1643,0.0222,7.483,0,212.74,126.98,0.2517,1.388,8,133.28,1125.0,1,317.881732,190.17383919999997
mp-743049,Sb4Ga2,2,tetragonal,106,Oxide,-3.6763,0.0262,4.618,0,210.35,50.69,0.3858,1.927,8,134.7,2613.0,1,140.492404,83.5246424
mp-161705,Sn4Ne2,2,monoclinic,14,Semiconductor,-0.8991,0.0256,1.233,0,116.25,64.26,0.2636,3.401,2,108.01,1707.0,1,162.397872,96.0783232
